,Turn,s,R,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,vx_max
740,Right,0.782,6.652,,,,,,,7.925745688107293
741,Right,0.8029999999999999,7.3420000000000005,,,,,,,8.322866755570063
742,Right,0.84,9.96,,,,,,,9.677090899403147
743,Right,0.873,10.966,,,,,,,10.147324126791265
744,Right,0.905,11.238,,,,,,,10.270561633869404
745,Right,0.9329999999999999,13.307,,,,,,,11.160904263449298
746,Right,0.9540000000000001,13.624,,,,,,,11.290711481416366
747,Right,0.975,13.158,,,,,,,11.099328572213597
748,Right,1.0070000000000001,14.035,,,,,,,11.45666368176291
749,Right,1.056,16.055999999999997,,,,,,,12.237594284811674
750,Right,1.107,23.069000000000003,,,,,,,14.601908396260443
751,Right,1.138,32.205,,,,,,,17.151478188739482
752,Right,1.186,32.792,,,,,,,17.300581330519115
753,Right,1.234,48.576,,,,,,,20.847103256437663
754,Right,1.274,132.376,,,,,,,32.73693059718919
755,Right,1.317,1273.718,,,,,,,33.29511773786174
756,Left,1.3659999999999999,456.79400000000004,,,,,,,33.29511773786174
757,Straight,1.4080000000000001,10000.0,,,,,,,33.29511773786174
758,Left,1.4509999999999998,1030.389,,,,,,,33.29511773786174
759,Straight,1.49,10000.0,,,,,,,33.29511773786174
760,Right,1.517,129.986,,,,,,,32.484144327724515
761,Right,1.5519999999999998,57.986000000000004,,,,,,,22.643763239230683
762,Right,1.598,35.038000000000004,,,,,,,17.85760611648484
763,Right,1.633,32.898,,,,,,,17.327345762630085
764,Right,1.633,41.66,,,,,,,19.39037768434659
765,Right,1.615,40.303000000000004,,,,,,,19.088352952001813
766,Right,1.5819999999999999,44.785,,,,,,,20.06485728247189
767,Right,1.541,66.991,,,,,,,24.203868222879564
768,Right,1.507,43.278,,,,,,,19.74313713789006
769,Right,1.5090000000000001,25.705,,,,,,,15.387343917838804
770,Right,1.51,23.074,,,,,,,14.603443424170454
771,Right,1.5,22.764,,,,,,,14.507926699817782
