,x,y,s,R,vx_entry,time,acceleration,vel_fi,vel_ri,vx_max,vx_exit
278,27.9,0.0,0.1,10000.0,26.387291826733396,0.0,11.846823387104454,33.29511773786174,33.29511773786174,33.29511773786174,26.432111018378343
279,28.0,0.0,0.1,10000.0,26.432111018378343,0.0,11.83661469343398,33.29511773786174,33.29511773786174,33.29511773786174,26.47681581775358
280,28.1,0.0,0.1,10000.0,26.47681581775358,0.0,11.82641479684126,33.29511773786174,33.29511773786174,33.29511773786174,26.521406836463168
281,28.2,0.0,0.1,10000.0,26.521406836463168,0.0,11.816223689745636,33.29511773786174,33.29511773786174,33.29511773786174,26.565884680509132
282,28.3,0.0,0.1,10000.0,26.565884680509132,0.0,11.80604136457299,33.29511773786174,33.29511773786174,33.29511773786174,26.610249950364256
283,28.4,0.0,0.1,10000.0,26.610249950364256,0.0,11.795867813755724,33.29511773786174,33.29511773786174,33.29511773786174,26.65450324104367
284,28.5,0.0,0.1,10000.0,26.65450324104367,0.0,11.785703029732767,33.29511773786174,33.29511773786174,33.29511773786174,26.698645142175238
285,28.6,0.0,0.1,10000.0,26.698645142175238,0.0,11.775547004949559,33.29511773786174,33.29511773786174,33.29511773786174,26.74267623806879
286,28.7,0.0,0.1,10000.0,26.74267623806879,0.0,11.765399731858054,33.29511773786174,33.29511773786174,33.29511773786174,26.786597107784193
287,28.8,0.0,0.1,10000.0,26.786597107784193,0.0,11.755261202916705,33.29511773786174,33.29511773786174,33.29511773786174,26.830408325198306
288,28.9,0.0,0.1,10000.0,26.830408325198306,0.0,11.745131410590465,33.29511773786174,33.29511773786174,33.29511773786174,26.87411045907084
289,29.0,0.0,0.1,10000.0,26.87411045907084,0.0,11.735010347350789,33.29511773786174,33.29511773786174,33.29511773786174,26.91770407310913
290,29.1,0.0,0.1,10000.0,26.91770407310913,0.0,11.724898005675605,33.29511773786174,33.29511773786174,33.29511773786174,26.961189726031858
291,29.2,0.0,0.1,10000.0,26.961189726031858,0.0,11.714794378049334,33.29511773786174,33.29511773786174,33.29511773786174,27.004567971631733
292,29.3,0.0,0.1,10000.0,27.004567971631733,0.0,11.70469945696287,33.29511773786174,33.29511773786174,33.29511773786174,27.04783935883717
293,29.4,0.0,0.1,10000.0,27.04783935883717,0.0,11.694613234913577,33.29511773786174,33.29511773786174,33.29511773786174,27.09100443177296
294,29.5,0.0,0.1,10000.0,27.09100443177296,0.0,11.684535704405285,33.29511773786174,33.29511773786174,33.29511773786174,27.13406372981997
295,29.6,0.0,0.1,10000.0,27.13406372981997,0.0,11.674466857948282,33.29511773786174,33.29511773786174,33.29511773786174,27.1770177876739
296,29.7,0.0,0.1,10000.0,27.1770177876739,0.0,11.664406688059312,33.29511773786174,33.29511773786174,33.29511773786174,27.219867135403067
297,29.8,0.0,0.1,10000.0,27.219867135403067,0.0,11.654355187261567,33.29511773786174,33.29511773786174,33.29511773786174,27.26261229850531
298,29.9,0.0,0.1,10000.0,27.26261229850531,0.0,11.644312348084682,33.29511773786174,33.29511773786174,33.29511773786174,27.30525379796397
299,30.0,0.0,0.1,10000.0,27.30525379796397,0.0,11.634278163064728,33.29511773786174,33.29511773786174,33.29511773786174,27.347792150303004
300,30.1,0.0,0.1,10000.0,27.347792150303004,0.0,11.624252624744212,33.29511773786174,33.29511773786174,33.29511773786174,27.390227867641208
301,30.2,0.0,0.1,10000.0,27.390227867641208,0.0,11.614235725672062,33.29511773786174,33.29511773786174,33.29511773786174,27.43256145774561
302,30.3,0.0,0.1,10000.0,27.43256145774561,0.0,11.60422745840363,33.29511773786174,33.29511773786174,33.29511773786174,27.474793424084012
303,30.4,0.0,0.1,10000.0,27.474793424084012,0.0,11.59422781550068,33.29511773786174,33.29511773786174,33.29511773786174,27.516924265876742
304,30.5,0.0,0.1,10000.0,27.516924265876742,0.0,11.584236789531394,33.29511773786174,33.29511773786174,33.29511773786174,27.558954478147577
305,30.6,0.0,0.1,10000.0,27.558954478147577,0.0,11.574254373070344,33.29511773786174,33.29511773786174,33.29511773786174,27.60088455177388
306,30.7,0.0,0.1,10000.0,27.60088455177388,0.0,11.564280558698515,33.29511773786174,33.29511773786174,33.29511773786174,27.642714973535988
307,30.8,0.0,0.1,10000.0,27.642714973535988,0.0,11.554315339003278,33.29511773786174,33.29511773786174,33.29511773786174,27.68444622616581
308,30.9,0.0,0.1,10000.0,27.68444622616581,0.0,11.544358706578393,33.29511773786174,33.29511773786174,33.29511773786174,27.726078788394712
309,31.0,0.0,0.1,10000.0,27.726078788394712,0.0,11.534410654024,33.29511773786174,33.29511773786174,33.29511773786174,27.767613135000648
310,31.1,0.0,0.1,10000.0,27.767613135000648,0.0,11.524471173946619,33.29511773786174,33.29511773786174,33.29511773786174,27.80904973685459
311,31.2,0.0,0.1,10000.0,27.80904973685459,0.0,11.514540258959139,33.29511773786174,33.29511773786174,33.29511773786174,27.85038906096625
312,31.3,0.0,0.1,10000.0,27.85038906096625,0.0,11.504617901680815,33.29511773786174,33.29511773786174,33.29511773786174,27.891631570529107
313,31.4,0.0,0.1,10000.0,27.891631570529107,0.0,11.494704094737264,33.29511773786174,33.29511773786174,33.29511773786174,27.932777724964772
314,31.5,0.0,0.1,10000.0,27.932777724964772,0.0,11.484798830760454,33.29511773786174,33.29511773786174,33.29511773786174,27.973827979966664
315,31.6,0.0,0.1,10000.0,27.973827979966664,0.0,11.474902102388704,33.29511773786174,33.29511773786174,33.29511773786174,28.014782787543066
316,31.7,0.0,0.1,10000.0,28.014782787543066,0.0,11.46501390226668,33.29511773786174,33.29511773786174,33.29511773786174,28.055642596059503
317,31.8,0.0,0.1,10000.0,28.055642596059503,0.0,11.455134223045382,33.29511773786174,33.29511773786174,33.29511773786174,28.09640785028052
318,31.9,0.0,0.1,10000.0,28.09640785028052,0.0,11.445263057382142,33.29511773786174,33.29511773786174,33.29511773786174,28.137078991410835
319,32.0,0.0,0.1,10000.0,28.137078991410835,0.0,11.435400397940628,33.29511773786174,33.29511773786174,33.29511773786174,28.17765645713588
320,32.1,0.0,0.1,10000.0,28.17765645713588,0.0,11.425546237390815,33.29511773786174,33.29511773786174,33.29511773786174,28.218140681661737
321,32.2,0.0,0.1,10000.0,28.218140681661737,0.0,11.415700568409008,33.29511773786174,33.29511773786174,33.29511773786174,28.258532095754525
322,32.3,0.0,0.1,10000.0,28.258532095754525,0.0,11.405863383677817,33.29511773786174,33.29511773786174,33.29511773786174,28.298831126779174
323,32.4,0.0,0.1,10000.0,28.298831126779174,0.0,11.396034675886158,33.29511773786174,33.29511773786174,33.29511773786174,28.33903819873765
324,32.5,0.0,0.1,10000.0,28.33903819873765,0.0,11.386214437729247,33.29511773786174,33.29511773786174,33.29511773786174,28.379153732306634
325,32.6,0.0,0.1,10000.0,28.379153732306634,0.0,11.376402661908598,33.29511773786174,33.29511773786174,33.29511773786174,28.419178144874632
326,32.7,0.0,0.1,10000.0,28.419178144874632,0.0,11.366599341132009,33.29511773786174,33.29511773786174,33.29511773786174,28.459111850578587
327,32.8,0.0,0.1,10000.0,28.459111850578587,0.0,11.356804468113564,33.29511773786174,33.29511773786174,33.29511773786174,28.498955260339937
328,32.9,0.0,0.1,10000.0,28.498955260339937,0.0,11.347018035573628,33.29511773786174,33.29511773786174,33.29511773786174,28.538708781900155
329,33.0,0.0,0.1,10000.0,28.538708781900155,0.0,11.337240036238835,33.29511773786174,33.29511773786174,33.29511773786174,28.57837281985581
330,33.1,0.0,0.1,10000.0,28.57837281985581,0.0,11.32747046284209,33.29511773786174,33.29511773786174,33.29511773786174,28.617947775693104
331,33.2,0.0,0.1,10000.0,28.617947775693104,0.0,11.317709308122557,33.29511773786174,33.29511773786174,33.29511773786174,28.65743404782192
332,33.3,0.0,0.1,10000.0,28.65743404782192,0.0,11.307956564825663,33.29511773786174,33.29511773786174,33.29511773786174,28.696832031609407
333,33.4,0.0,0.1,10000.0,28.696832031609407,0.0,11.298212225703075,33.29511773786174,33.29511773786174,33.29511773786174,28.736142119413074
334,33.5,0.0,0.1,10000.0,28.736142119413074,0.0,11.28847628351272,33.29511773786174,33.29511773786174,33.29511773786174,28.775364700613437
335,33.6,0.0,0.1,10000.0,28.775364700613437,0.0,11.278748731018757,33.29511773786174,33.29511773786174,33.29511773786174,28.814500161646187
336,33.7,0.0,0.1,10000.0,28.814500161646187,0.0,11.269029560991578,33.29511773786174,33.29511773786174,33.29511773786174,28.853548886033927
337,33.8,0.0,0.1,10000.0,28.853548886033927,0.0,11.259318766207814,33.29511773786174,33.29511773786174,33.29511773786174,28.892511254417464
338,33.9,0.0,0.1,10000.0,28.892511254417464,0.0,11.249616339450313,33.29511773786174,33.29511773786174,33.29511773786174,28.931387644586657
339,34.0,0.0,0.1,10000.0,28.931387644586657,0.0,11.239922273508144,33.29511773786174,33.29511773786174,33.29511773786174,28.970178431510856
340,34.1,0.0,0.1,10000.0,28.970178431510856,0.0,11.230236561176593,33.29511773786174,33.29511773786174,33.29511773786174,29.008883987368907
341,34.2,0.0,0.1,10000.0,29.008883987368907,0.0,11.22055919525715,33.29511773786174,33.29511773786174,33.29511773786174,29.047504681578758
342,34.3,0.0,0.1,10000.0,29.047504681578758,0.0,11.210890168557514,33.29511773786174,33.29511773786174,33.29511773786174,29.086040880826634
343,34.4,0.0,0.1,10000.0,29.086040880826634,0.0,11.201229473891575,33.29511773786174,33.29511773786174,33.29511773786174,29.124492949095853
344,34.5,0.0,0.1,10000.0,29.124492949095853,0.0,11.191577104079418,33.29511773786174,33.29511773786174,33.29511773786174,29.16286124769522
345,34.6,0.0,0.1,10000.0,29.16286124769522,0.0,11.181933051947315,33.29511773786174,33.29511773786174,33.29511773786174,29.201146135287036
346,34.7,0.0,0.1,10000.0,29.201146135287036,0.0,11.172297310327723,33.29511773786174,33.29511773786174,33.29511773786174,29.239347967914757
347,34.8,0.0,0.1,10000.0,29.239347967914757,0.0,11.162669872059274,33.29511773786174,33.29511773786174,33.29511773786174,29.27746709903024
348,34.9,0.0,0.1,10000.0,29.27746709903024,0.0,11.153050729986763,33.29511773786174,33.29511773786174,33.29511773786174,29.31550387952065
349,35.0,0.0,0.1,10000.0,29.31550387952065,0.0,11.143439876961166,33.29511773786174,33.29511773786174,33.29511773786174,29.353458657735008
350,35.1,0.0,0.1,10000.0,29.353458657735008,0.0,11.133837305839606,33.29511773786174,33.29511773786174,33.29511773786174,29.391331779510356
